theta,item,info,a,b,c
-4.75,IRPM.57,3.464103699508469e-7,1.94429,-0.2864,0.24
-4.75,IRPM.11,3.7174211328742296e-7,2.12602,-0.6425,0.24
-4.75,IRPM.461,3.749760997748502e-7,2.18603,-0.7445,0.24
-4.75,IRPM.462,3.295617728070013e-7,1.98152,-0.3481,0.24
-4.75,IRPM.71,3.2269600688768604e-7,1.99682,-0.3727,0.24
-4.75,IRPM.205,2.886115214796851e-7,1.80472,0.0681,0.24
-4.75,IRPM.136,2.989800775485943e-7,2.03031,-0.4179,0.24
-4.75,IRPM.458,2.1643585119681854e-7,1.43242,1.2595,0.24
-4.75,IRPM.467,2.8288111587239515e-7,1.97999,-0.3065,0.24
-4.75,IRPM.215,2.538276629679637e-7,1.77293,0.1807,0.24
-4.75,IRPM.153,3.062174816553155e-7,2.19045,-0.7054,0.24
-4.75,IRPM.499,2.3222970488253585e-7,1.70918,0.3692,0.24
-4.75,IRPM.437,2.257781390740935e-7,1.6898,0.4295,0.24
-4.75,IRPM.177,3.149121161290518e-7,2.3919,-1.0151,0.24
-4.75,IRPM.407,2.4682102181925464e-7,1.92355,-0.1557,0.24
-4.75,IRPM.137,2.5968868041234876e-7,2.0672,-0.4524,0.24
-4.75,IRPM.369,2.833101192899984e-7,2.27698,-0.825,0.24
-4.75,IRPM.81,2.2246312634718883e-7,1.80387,0.1423,0.24
-4.75,IRPM.427,2.469640506983766e-7,2.0553,-0.4181,0.24
-4.75,IRPM.34,2.249410557448919e-7,1.88683,-0.0519,0.24
-4.75,IRPM.60,2.0057063810610706e-7,1.92423,-0.1032,0.24
-4.75,IRPM.483,2.1775760770478696e-7,2.10749,-0.4836,0.24
-4.75,IRPM.471,1.6486316323063137e-7,1.61058,0.7521,0.24
-4.75,IRPM.313,2.0128279213406097e-7,2.05139,-0.3609,0.24
-4.75,IRPM.68,2.0035276009732988e-7,2.08845,-0.4291,0.24
-4.75,IRPM.84,1.991508634776888e-7,2.09321,-0.4364,0.24
-4.75,IRPM.35,1.9988803288246252e-7,2.11616,-0.4789,0.24
-4.75,IRPM.170,1.8721248807944387e-7,2.03966,-0.3207,0.24
-4.75,IRPM.463,1.615044610946396e-7,1.75746,0.3478,0.24
-4.75,IRPM.223,1.6606804389944277e-7,1.85606,0.0989,0.24
-4.75,IRPM.201,1.5184794404400453e-7,1.73434,0.4259,0.24
-4.75,IRPM.318,1.5744288350238182e-7,1.95364,-0.1034,0.24
-4.75,IRPM.325,1.5634941703564457e-7,2.00379,-0.2053,0.24
-4.75,IRPM.102,1.4502138994598476e-7,1.85368,0.141,0.24
-4.75,IRPM.154,1.5431962827228668e-7,2.05428,-0.3017,0.24
-4.75,IRPM.21,1.4482939664541193e-7,1.94497,-0.0635,0.24
-4.75,IRPM.162,1.477737023598992e-7,1.9992,-0.1819,0.24
-4.75,IRPM.46,1.6977519168950152e-7,2.27868,-0.7152,0.24
-4.75,IRPM.140,1.559710982401534e-7,2.13265,-0.4501,0.24
-4.75,IRPM.331,1.3523450533016136e-7,1.86694,0.1288,0.24
-4.75,IRPM.195,1.2733329501474274e-7,1.77973,0.3579,0.24
-4.75,IRPM.406,1.5666603756632237e-7,2.19487,-0.5599,0.24
-4.75,IRPM.440,1.3358183535928173e-7,1.89924,0.0581,0.24
-4.75,IRPM.335,1.3887777203937536e-7,2.0026,-0.1733,0.24
-4.75,IRPM.250,1.3327946699205257e-7,1.97183,-0.0993,0.24
-4.75,IRPM.199,1.4684812150977038e-7,2.17447,-0.51,0.24
-4.75,IRPM.334,1.2288841947410162e-7,1.8343,0.2321,0.24
-4.75,IRPM.22,1.2430414701822426e-7,1.89499,0.0867,0.24
-4.75,IRPM.413,1.3573362509619812e-7,2.08403,-0.3275,0.24
